data,score,city,comment,nick
2018-08-19,5,滨州,完美完美完美！,Kcz160631495
2018-08-19,5,张家港,很好看，值得一看！,Fan紫菱
2018-08-19,0.5,德州,原名都改了，情怀也没有了,轻狂书生734
2018-08-20,2.5,南京,剧情有点尬，莫名其妙,公主佩内洛普
2018-08-20,2.5,苏州,情怀不多，有点失望,zso935537158
2018-08-20,0.5,南阳,烂片，浪费钱，，，,江绰绰
2018-08-20,3,重庆,怎么说呢，不叫这个名字会有6分左右,梦里学王
2018-08-20,3.5,宜宾,其实算番外吧，觉得把名字更改下会好些，《爱情公寓之        》，就像决战紫禁城之巅一样。也不算标题党，只是名字太直接，有点虚假宣传嫌疑在里头。最后暗示了，是爱情公寓的主角光环不是盗墓笔记的，总得来说，剧还是不错的，虽然有些成分添加还不算太自然，不过多数观众都会笑，还是很符合爱情公寓的风格的。期待爱5能做好，至少对得起观众的情怀吧。,湮灵
2018-08-20,4.5,孝感,。一？！！！！,uJD558084243
2018-08-20,2,东莞,就  很粗俗的喜剧吧,JRa446580127
2018-08-20,4,西安,还好，就是有点不像爱情公寓,GJP775
2018-08-20,4,苏州,奔着情怀来！,拥她.
2018-08-20,5,东莞,好看！期待爱5,杨young.wong
2018-08-20,5,上海,搞笑，值得一看,ZOg487020467
2018-08-20,5,衢州,好看，刚开始我都还以为我走错场了，后面看到起曾小贤那个笑脸，知道没走错，不过挺搞笑的,蕾蕾smeil
2018-08-20,5,宜宾,好哈哈哈呵呵呵,luO225023131
2018-08-20,5,广州,就喜欢陈赤赤,DJ伟康
2018-08-20,5,沈阳,还可以，感觉没有太多改变,1只求一份安定
2018-08-20,3.5,重庆,一般，不太好看,NfE391707484
2018-08-20,5,乌鲁木齐,情怀电影 其实还可以,Yit275174085
2018-08-20,0.5,温州,这还是爱情公寓吗？我吐了？放的什么东西都不知道，爱情公寓还不如叫老九门？我看过最差的片子了，剧情都没有纯粹胡搞，一点都不搞笑我都快睡着了。真不知道编剧跟导演怎么想的，不说了，下次不会在被骗了。5星差评不解释。,Taeyeon萌团
2018-08-20,2.5,西宁,很一般，比不上预期,awf350709139
2018-08-20,5,兰州,看到爱情公寓就很开心了,tjl0702
